Date,Time,TOTAL PEOPLE IN
2016-09-12,7:51:00,60
2016-09-12,7:51:00,60
2016-09-12,7:51:00,61
2016-09-12,7:51:00,62
2016-09-12,7:52:00,62
2016-09-12,7:52:00,63
2016-09-12,7:52:00,62
2016-09-12,7:53:00,62
2016-09-12,7:53:00,63
2016-09-12,7:53:00,63
2016-09-12,7:53:00,64
2016-09-12,7:53:00,64
2016-09-12,7:54:00,64
2016-09-12,7:54:00,65
2016-09-12,7:54:00,66
2016-09-12,7:54:00,66
2016-09-12,7:54:00,67
2016-09-12,7:56:00,67
2016-09-12,7:56:00,68
2016-09-12,7:57:00,68
2016-09-12,7:57:00,68
2016-09-12,7:57:00,69
2016-09-12,7:57:00,69
2016-09-12,7:57:00,70
2016-09-12,7:57:00,70
2016-09-12,7:57:00,70
2016-09-12,7:57:00,71
2016-09-12,7:57:00,72
2016-09-12,7:57:00,73
2016-09-12,7:58:00,72
2016-09-12,7:58:00,73
2016-09-12,7:58:00,73
2016-09-12,7:58:00,74
2016-09-12,7:59:00,74
2016-09-12,7:59:00,74
2016-09-12,7:59:00,74
2016-09-12,7:59:00,74
2016-09-12,7:59:00,75
2016-09-12,7:59:00,75
2016-09-12,7:59:00,75
2016-09-12,7:59:00,76
2016-09-12,8:00:00,76
2016-09-12,8:00:00,76
2016-09-12,8:00:00,77
2016-09-12,8:00:00,77
2016-09-12,8:00:00,77
2016-09-12,8:00:00,78
2016-09-12,8:01:00,78
2016-09-12,8:01:00,79
2016-09-12,8:01:00,79
2016-09-12,8:01:00,79
2016-09-12,8:01:00,80
2016-09-12,8:01:00,81
2016-09-12,8:02:00,81
2016-09-12,8:02:00,81
2016-09-12,8:02:00,81
2016-09-12,8:02:00,81
2016-09-12,8:02:00,82
2016-09-12,8:02:00,82
2016-09-12,8:02:00,82
2016-09-12,8:03:00,83
2016-09-12,8:03:00,83
2016-09-12,8:03:00,83
2016-09-12,8:03:00,83
2016-09-12,8:03:00,84
2016-09-12,8:03:00,84
2016-09-12,8:03:00,84
2016-09-12,8:04:00,85
2016-09-12,8:04:00,85
2016-09-12,8:04:00,85
2016-09-12,8:04:00,86
2016-09-12,8:04:00,86
2016-09-12,8:04:00,87
2016-09-12,8:04:00,87
2016-09-12,8:04:00,87
2016-09-12,8:05:00,87
2016-09-12,8:05:00,88
2016-09-12,8:05:00,88
2016-09-12,8:05:00,88
2016-09-12,8:05:00,88
2016-09-12,8:05:00,89
2016-09-12,8:05:00,89
2016-09-12,8:05:00,89
2016-09-12,8:05:00,88
2016-09-12,8:05:00,89
2016-09-12,8:06:00,89
2016-09-12,8:06:00,89
2016-09-12,8:06:00,89
2016-09-12,8:06:00,90
2016-09-12,8:07:00,90
2016-09-12,8:07:00,91
2016-09-12,8:07:00,92
2016-09-12,8:07:00,92
2016-09-12,8:07:00,92
2016-09-12,8:07:00,93
2016-09-12,8:07:00,93
2016-09-12,8:07:00,94
2016-09-12,8:08:00,94
2016-09-12,8:08:00,94
2016-09-12,8:08:00,95
2016-09-12,8:08:00,94
2016-09-12,8:08:00,94
2016-09-12,8:09:00,95
2016-09-12,8:09:00,95
2016-09-12,8:09:00,95
2016-09-12,8:09:00,96
2016-09-12,8:10:00,96
2016-09-12,8:10:00,96
2016-09-12,8:10:00,97
2016-09-12,8:10:00,97
2016-09-12,8:10:00,98
2016-09-12,8:11:00,98
2016-09-12,8:11:00,98
2016-09-12,8:11:00,98
2016-09-12,8:11:00,98
2016-09-12,8:11:00,99
2016-09-12,8:11:00,99
2016-09-12,8:11:00,99
2016-09-12,8:12:00,99
2016-09-12,8:12:00,99
2016-09-12,8:12:00,100
2016-09-12,8:13:00,100
2016-09-12,8:13:00,101
2016-09-12,8:13:00,101
2016-09-12,8:13:00,102
2016-09-12,8:13:00,102
2016-09-12,8:13:00,103
2016-09-12,8:14:00,103
2016-09-12,8:14:00,103
2016-09-12,8:15:00,103
2016-09-12,8:15:00,103
2016-09-12,8:16:00,104
2016-09-12,8:16:00,104
2016-09-12,8:17:00,104
2016-09-12,8:17:00,104
2016-09-12,8:17:00,104
2016-09-12,8:17:00,104
2016-09-12,8:18:00,104
2016-09-12,8:18:00,105
2016-09-12,8:18:00,105
2016-09-12,8:18:00,105
2016-09-12,8:18:00,106
2016-09-12,8:18:00,106
2016-09-12,8:19:00,107
2016-09-12,8:19:00,107
2016-09-12,8:20:00,107
2016-09-12,8:20:00,107
2016-09-12,8:20:00,107
2016-09-12,8:20:00,108
2016-09-12,8:20:00,109
2016-09-12,8:20:00,109
2016-09-12,8:20:00,110
2016-09-12,8:21:00,110
2016-09-12,8:21:00,110
2016-09-12,8:21:00,110
2016-09-12,8:22:00,110
2016-09-12,8:22:00,110
2016-09-12,8:22:00,111
2016-09-12,8:22:00,111
2016-09-12,8:22:00,111
2016-09-12,8:22:00,112
2016-09-12,8:23:00,112
2016-09-12,8:23:00,112
2016-09-12,8:23:00,112
2016-09-12,8:24:00,112
2016-09-12,8:25:00,112
2016-09-12,8:25:00,112
2016-09-12,8:25:00,112
2016-09-12,8:25:00,112
2016-09-12,8:26:00,112
2016-09-12,8:26:00,112
2016-09-12,8:26:00,113
2016-09-12,8:26:00,113
2016-09-12,8:26:00,113
2016-09-12,8:26:00,114
2016-09-12,8:26:00,115
2016-09-12,8:26:00,115
2016-09-12,8:26:00,115
2016-09-12,8:26:00,115
2016-09-12,8:27:00,115
2016-09-12,8:27:00,116
2016-09-12,8:27:00,116
2016-09-12,8:27:00,117
2016-09-12,8:27:00,117
2016-09-12,8:27:00,117
2016-09-12,8:27:00,118
2016-09-12,8:28:00,119
2016-09-12,8:28:00,119
2016-09-12,8:28:00,119
2016-09-12,8:28:00,120
2016-09-12,8:28:00,120
2016-09-12,8:28:00,120
2016-09-12,8:29:00,120
2016-09-12,8:29:00,120
2016-09-12,8:29:00,120
2016-09-12,8:29:00,120
2016-09-12,8:29:00,121
2016-09-12,8:29:00,122
2016-09-12,8:29:00,122
2016-09-12,8:29:00,122
2016-09-12,8:29:00,122
2016-09-12,8:30:00,122
2016-09-12,8:30:00,122
2016-09-12,8:30:00,123
2016-09-12,8:30:00,122
2016-09-12,8:30:00,123
2016-09-12,8:30:00,123
2016-09-12,8:30:00,124
2016-09-12,8:30:00,125
2016-09-12,8:30:00,125
2016-09-12,8:31:00,126
2016-09-12,8:31:00,126
2016-09-12,8:31:00,126
2016-09-12,8:31:00,127
2016-09-12,8:32:00,128
