ID number,Team ID,Distance one way,Distance return,Non-Emitting Modes,,Public Transport,,,,Petrol Car,,,Diesel Car,,,Motorbike,,
,,,,Walk,Bicycle,Bus,Train,Tram,Metro,Small < 1.4ltr,Medium 1.4-2.0ltr,Large >2.0ltr,Small < 1.4ltr,Medium 1.4-2.0ltr,Large >2.0ltr,0 - 125cc,125 - 500cc,> 500cc
92,Team 3,6,12,,1,,,,,,,,,,,,,
93,Team 22,45,90,,,,,,,,,,,,1,,,
94,Team 17,20,40,,,0.05,0.95,,,,,,,,,,,
95,Team 34,8,16,,0.1,0.35,0.2,,,,,,0.35,,,,,
96,Team 6,16,32,,,,0.45,0.45,,,0.1,,,,,,,
97,Team 35,30,60,,,,,,,,0.5,,,,,,,
98,Team 35,2.75,5.5,0.01,0.99,,,,,,,,,,,,,
99,Team 18,11,22,,,,,,,,1,,,,,,,
100,Team 19,10,20,,,0.02,,,,,0.98,,,,,,,
101,Team 4,10,20,,,,,,,,,,,1,,,,
102,Team 18,9,18,,,,0.01,,,,,,,0.99,,,,
103,Team 35,12,24,,,0.03,,,0.02,,0.95,,,,,,,
104,Team 23,42,84,,0.05,0.75,,,,,,,0.2,,,,,
105,Team 5,52.5,105,,,,,,,,,,,,1,,,
106,Team 28,70,140,,,,0.9,,,,0.1,,,,,,,
107,Team 35,13.5,27,0.1,,0.5,,,0.4,,,,,,,,,
108,Team 4,10,20,,,,,,,,1,,,,,,,
109,Team 21,7,14,,,0.2,,,,,0.8,,,,,,,
110,Team 24,14,28,,,0.05,0.35,,,,0.59,,,,,,,
111,Team 32,19,38,,,0.1,,,,,,0.81,,,,,,
112,Team 35,30,60,,,,,,,,1,,,,,,,
113,Team 12,4,8,,,0.45,0.45,,,,0.1,,,,,,,
114,Team 26,45,90,0.08,0.05,,0.01,,,,,,,,0.85,0.01,,
115,Team 27,12,24,0.02,0.05,0.05,0.08,,,,,,,0.8,,,,
116,Team 13,63,126,,,,,,,,,,,1,,,,
117,Team 24,23.5,47,,,0.07,,,,,0.93,,,,,,,
118,Team 23,7.5,15,,0.99,,0.01,,,,,,,,,,,
119,Team 5,13.4,26.8,,,,,,,,1,,,,,,,
120,Team 35,55,110,,,,0.02,,,,,,,0.98,,,,
121,Team 14,10,20,,0.005,,0.005,,,,,0.99,,,,,,
122,Team 31,17,34,,0.25,0.05,0.45,,0.25,,,,,,,,,
123,Team 5,12.4,24.8,,,0.03,,,0.02,,,,,0.95,,,,
124,Team 1,20,40,0.49,,,0.49,,,,0.02,,,,,,,
125,Team 22,6.5,13,,0.3,0.05,0.64,,,,0.01,,,,,,,
126,Team 30,8,16,,,,,,,,1,,,,,,,
127,Team 5,22,44,,,0.9,,,,,0.05,,,,,,,
