Sensor_ID,Date,Time,CO2_concentration
335,2016-09-13,07:30:00.000,462.980765
335,2016-09-13,07:45:00.000,442.780711
335,2016-09-13,08:00:00.000,446.820722
335,2016-09-13,08:15:00.000,452.880738
335,2016-09-13,08:30:00.000,460.96076
335,2016-09-13,08:45:00.000,460.96076
335,2016-09-13,09:00:00.000,507.420883
335,2016-09-13,09:15:00.000,527.620936
335,2016-09-13,09:30:00.000,501.360867
335,2016-09-13,09:45:00.000,501.360867
335,2016-09-13,10:00:00.000,555.901011
335,2016-09-13,10:15:00.000,531.660947
335,2016-09-13,10:30:00.000,523.580926
335,2016-09-13,10:45:00.000,543.780979
335,2016-09-13,11:00:00.000,537.720963
335,2016-09-13,11:15:00.000,507.420883
335,2016-09-13,11:30:00.000,503.380872
335,2016-09-13,11:45:00.000,509.440888
335,2016-09-13,12:00:00.000,513.480899
335,2016-09-13,12:15:00.000,513.480899
335,2016-09-13,12:30:00.000,509.440888
335,2016-09-13,12:45:00.000,519.540915
335,2016-09-13,13:00:00.000,521.56092
335,2016-09-13,13:15:00.000,521.56092
335,2016-09-13,13:30:00.000,566.001038
335,2016-09-13,13:45:00.000,555.901011
335,2016-09-13,14:00:00.000,531.660947
335,2016-09-13,14:15:00.000,529.640942
335,2016-09-13,14:30:00.000,515.500904
335,2016-09-13,14:45:00.000,501.360867
335,2016-09-13,15:00:00.000,505.400877
335,2016-09-13,15:15:00.000,497.320856
335,2016-09-13,15:30:00.000,497.320856
335,2016-09-13,15:45:00.000,485.200824
335,2016-09-13,16:00:00.000,483.180819
335,2016-09-13,16:15:00.000,473.080792
335,2016-09-13,16:30:00.000,448.840727
335,2016-09-13,16:45:00.000,523.580926
335,2016-09-13,17:00:00.000,438.740701
335,2016-09-13,17:15:00.000,410.460626
335,2016-09-13,17:30:00.000,394.300583
335,2016-09-13,17:45:00.000,390.260572
335,2016-09-13,18:00:00.000,380.160545
335,2016-09-13,18:15:00.000,376.120535
335,2016-09-13,18:30:00.000,372.080524
335,2016-09-13,18:45:00.000,370.060519
335,2016-09-13,19:00:00.000,368.040513
335,2016-09-13,19:15:00.000,368.040513
335,2016-09-13,19:30:00.000,370.060519
335,2016-09-13,19:45:00.000,366.020508
335,2016-09-13,20:00:00.000,368.040513
335,2016-09-13,20:15:00.000,372.080524
335,2016-09-13,20:30:00.000,370.060519
335,2016-09-13,20:45:00.000,370.060519
335,2016-09-13,21:00:00.000,370.060519
335,2016-09-13,21:15:00.000,372.080524
335,2016-09-13,21:30:00.000,376.120535
335,2016-09-13,21:45:00.000,372.080524
335,2016-09-13,22:00:00.000,374.100529
335,2016-09-13,22:15:00.000,376.120535
335,2016-09-13,22:30:00.000,376.120535
335,2016-09-13,22:45:00.000,378.14054
335,2016-09-13,23:00:00.000,378.14054
335,2016-09-13,23:15:00.000,378.14054
335,2016-09-13,23:30:00.000,378.14054
335,2016-09-13,23:45:00.000,378.14054
335,2016-09-14,00:00:00.000,380.160545
335,2016-09-14,00:15:00.000,378.14054
335,2016-09-14,00:30:00.000,378.14054
335,2016-09-14,00:45:00.000,380.160545
335,2016-09-14,01:00:00.000,378.14054
335,2016-09-14,01:15:00.000,380.160545
335,2016-09-14,01:30:00.000,380.160545
335,2016-09-14,01:45:00.000,380.160545
335,2016-09-14,02:00:00.000,380.160545
335,2016-09-14,02:15:00.000,382.180551
335,2016-09-14,02:30:00.000,380.160545
335,2016-09-14,02:45:00.000,380.160545
335,2016-09-14,03:00:00.000,378.14054
335,2016-09-14,03:15:00.000,380.160545
335,2016-09-14,03:30:00.000,380.160545
335,2016-09-14,03:45:00.000,382.180551
335,2016-09-14,04:00:00.000,380.160545
335,2016-09-14,04:15:00.000,380.160545
335,2016-09-14,04:30:00.000,380.160545
335,2016-09-14,04:45:00.000,384.200556
335,2016-09-14,05:00:00.000,384.200556
335,2016-09-14,05:15:00.000,384.200556
335,2016-09-14,05:30:00.000,380.160545
335,2016-09-14,05:45:00.000,384.200556
335,2016-09-14,06:00:00.000,380.160545
335,2016-09-14,06:15:00.000,384.200556
335,2016-09-14,06:30:00.000,384.200556
335,2016-09-14,06:45:00.000,392.280578
335,2016-09-14,07:00:00.000,398.340594
335,2016-09-14,07:15:00.000,402.380604
335,2016-09-14,07:30:00.000,402.380604
335,2016-09-14,07:45:00.000,410.460626
335,2016-09-14,08:00:00.000,416.520642
335,2016-09-14,08:15:00.000,426.620669
335,2016-09-14,08:30:00.000,424.600663
335,2016-09-14,08:45:00.000,434.70069
335,2016-09-14,09:00:00.000,469.040781
335,2016-09-14,09:15:00.000,483.180819
335,2016-09-14,09:30:00.000,505.400877
335,2016-09-14,09:45:00.000,539.740968
335,2016-09-14,10:00:00.000,533.680952
335,2016-09-14,10:15:00.000,521.56092
335,2016-09-14,10:30:00.000,527.620936
335,2016-09-14,10:45:00.000,537.720963
335,2016-09-14,11:00:00.000,541.760974
335,2016-09-14,11:15:00.000,539.740968
335,2016-09-14,11:30:00.000,533.680952
335,2016-09-14,11:45:00.000,533.680952
335,2016-09-14,12:00:00.000,533.680952
335,2016-09-14,12:15:00.000,519.540915
335,2016-09-14,12:30:00.000,509.440888
335,2016-09-14,12:45:00.000,497.320856
335,2016-09-14,13:00:00.000,499.340861
335,2016-09-14,13:15:00.000,497.320856
335,2016-09-14,13:30:00.000,489.240835
335,2016-09-14,13:45:00.000,483.180819
335,2016-09-14,14:00:00.000,487.220829
335,2016-09-14,14:15:00.000,489.240835
335,2016-09-14,14:30:00.000,485.200824
335,2016-09-14,14:45:00.000,479.140808
335,2016-09-14,15:00:00.000,473.080792
